,ORG Name,ORG Link,Size,Sector,Country,Region,Report
233,E.A.Cables Ltd,https://database.globalreporting.org/organizations/16863/,Large,Energy Utilities,ke,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62191/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54734/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54736/']"
234,East African Breweries (EABL),https://database.globalreporting.org/organizations/15300/,MNE,Food and Beverage Products,ke,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62192/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/58746/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/50135/', '2004 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/69184/']"
235,Eastern Platinum,https://database.globalreporting.org/organizations/3999/,Large,Mining,za,Africa,['2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/10149/']
236,Ecobank,https://database.globalreporting.org/organizations/15302/,MNE,Financial Services,tg,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62958/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/50137/']"
237,ECO stove,https://database.globalreporting.org/organizations/22858/,SME,Energy Utilities,ug,Africa,['2020 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/79764/']
238,Ecsponent,https://database.globalreporting.org/organizations/14260/,Large,Financial Services,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/76592/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61404/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61403/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/46621/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/46620/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/25321/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/25323/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11943/']"
239,Edcon,https://database.globalreporting.org/organizations/7446/,Large,Textiles and Apparel,za,Africa,"['2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/64167/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/55670/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/55669/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/55668/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22336/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22335/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22316/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22334/']"
240,Efficient Group,https://database.globalreporting.org/organizations/4767/,Large,Financial Services,za,Africa,"['2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/74132/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/60993/', '2017 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/57918/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/42806/', '2015 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/34606/', '2014 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/23416/', '2013 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/17550/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/13730/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/11972/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/17553/']"
241,EFG Hermes,https://database.globalreporting.org/organizations/8562/,Large,Financial Services,eg,Africa,"['2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/48192/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/27264/']"
242,Efora Energy (previously Sacoil),https://database.globalreporting.org/organizations/4678/,SME,Energy,za,Africa,"['2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/74879/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/62309/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/57832/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/42993/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/42982/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/21432/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/19115/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/18351/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11877/']"
